Model,Accuracy,Macro-F1,AUC-PR,R@5
Random tags (MTAT),,0.11074179477128086,0.06619757704478174,
Task 1: DistilBERT,,0.2863323313156807,0.2978998362733808,
Task 2: GraphSAGE,0.34951456310679613,0.33635532269588,,
Task 2: CNN,0.7864077669902912,0.7858975448655083,,
Task 3: BERT only,,0.2812295491160282,0.25248182420391463,
Task 3: GNN only,,0.29666144461703897,0.24422961505807442,
Task 3: Concatenation,,0.3707632064898798,0.35414102785412716,
Task 3: Cross-attention,,0.3786161444820097,0.35452833805711653,
Task 4: Contrastive,,,,0.09677419066429138
